Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
64 a 65;1;1;335 (Wed May 23 03:43:47 BRT 2007[null]);0;2;0.000;0;5;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
65 a 66;1;1;344 (Wed May 23 21:47:12 BRT 2007[null]);4;0;1.000;4;0;1.000;1.000;1.000;0.000;1.000;0.000;1.000;0.000
67 a 68;67;36;361 (Fri May 25 00:22:06 BRT 2007[null]);50;155;0.244;78;326;0.194;0.217;0.209;0.222;0.203;0.248;0.178;0.169
68 a 69;2;2;362 (Fri May 25 00:25:28 BRT 2007[null]);4;14;0.223;6;11;0.353;0.274;0.226;0.026;0.365;0.153;0.278;0.065
69 a 70;14;14;373 (Mon Jun 04 05:01:11 BRT 2007[null]);26;56;0.318;56;86;0.395;0.353;0.313;0.162;0.393;0.231;0.327;0.140
70 a 71;4;3;379 (Wed Jun 06 23:21:52 BRT 2007[null]);4;20;0.167;6;28;0.177;0.172;0.135;0.097;0.140;0.101;0.138;0.099
71 a 72;2;2;382 (Thu Jun 07 22:51:59 BRT 2007[null]);3;11;0.215;3;16;0.158;0.183;0.226;0.026;0.172;0.062;0.195;0.043
72 a 73;12;3;384 (Thu Jun 14 01:51:16 BRT 2007[null]);3;11;0.215;5;18;0.218;0.217;0.195;0.142;0.223;0.160;0.207;0.148
73 a 74;4;3;385 (Thu Jun 14 03:27:32 BRT 2007[null]);5;21;0.193;6;29;0.172;0.182;0.152;0.114;0.134;0.098;0.142;0.104
74 a 75;4;1;386 (Thu Jun 14 08:17:05 BRT 2007[null]);2;9;0.182;3;8;0.273;0.219;0.182;0.001;0.273;0.091;0.219;0.037
75 a 76;27;10;389 (Tue Jun 19 01:08:19 BRT 2007[null]);11;56;0.165;11;58;0.160;0.163;0.222;0.265;0.184;0.090;0.185;0.125
76 a 77;5;4;391 (Tue Jun 19 01:15:25 BRT 2007[null]);4;9;0.308;4;8;0.334;0.321;0.438;0.325;0.605;0.431;0.334;0.124
77 a 78;1;1;392 (Tue Jun 19 10:09:57 BRT 2007[null]);1;3;0.250;1;1;0.500;0.334;0.250;0.000;0.500;0.250;0.334;0.084
78 a 79;6;4;395 (Wed Jun 27 05:33:37 BRT 2007[null]);7;15;0.319;7;9;0.438;0.370;0.332;0.170;0.480;0.255;0.389;0.193
79 a 80;9;7;396 (Mon Jul 02 00:44:07 BRT 2007[null]);8;27;0.229;9;40;0.184;0.205;0.182;0.193;0.171;0.202;0.164;0.181
80 a 81;5;1;397 (Mon Jul 02 04:54:59 BRT 2007[null]);2;4;0.334;6;27;0.182;0.236;0.334;0.001;0.182;0.153;0.236;0.099
82 a 83;3;2;399 (Wed Jul 04 02:04:26 BRT 2007[null]);5;8;0.385;7;49;0.125;0.189;0.393;0.108;0.149;0.250;0.216;0.191
83 a 84;4;2;401 (Wed Jul 04 23:16:13 BRT 2007[null]);4;10;0.286;8;23;0.259;0.272;0.276;0.026;0.259;0.020;0.267;0.019
84 a 85;3;3;402 (Fri Jul 06 10:34:43 BRT 2007[null]);3;18;0.143;3;15;0.167;0.155;0.143;0.001;0.170;0.036;0.155;0.016
85 a 86;8;4;403 (Fri Jul 06 10:37:18 BRT 2007[null]);6;17;0.261;7;48;0.128;0.172;0.242;0.155;0.105;0.160;0.144;0.146
86 a 87;2;2;415 (Wed Jul 25 02:34:40 BRT 2007[null]);1;9;0.101;1;7;0.125;0.112;0.084;0.084;0.101;0.102;0.091;0.092
87 a 88;1;1;416 (Thu Jul 26 21:54:54 BRT 2007[null]);1;1;0.500;1;1;0.500;0.500;0.500;0.000;0.500;0.000;0.500;0.000
88 a 89;46;12;418 (Sat Aug 04 14:38:51 BRT 2007[null]);12;37;0.245;23;57;0.288;0.265;0.271;0.276;0.241;0.218;0.246;0.222
89 a 90;1;1;434 (Mon Aug 27 13:23:14 BRT 2007[null]);2;7;0.223;3;10;0.231;0.227;0.223;0.001;0.231;0.008;0.227;0.004
90 a 91;2;2;436 (Mon Aug 27 14:14:23 BRT 2007[null]);0;7;0.000;0;5;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
92 a 93;2;1;442 (Mon Aug 27 21:31:30 BRT 2007[null]);3;7;0.300;3;6;0.334;0.317;0.300;0.000;0.334;0.034;0.316;0.016
93 a 94;3;3;444 (Tue Aug 28 12:26:59 BRT 2007[null]);7;6;0.539;9;36;0.201;0.293;0.667;0.236;0.184;0.488;0.267;0.406
94 a 95;1;1;446 (Tue Aug 28 13:53:05 BRT 2007[null]);1;4;0.201;1;5;0.167;0.183;0.201;0.002;0.167;0.035;0.182;0.020
95 a 96;1;1;448 (Tue Aug 28 16:16:37 BRT 2007[null]);3;3;0.500;7;15;0.319;0.390;0.500;0.000;0.319;0.182;0.389;0.112
96 a 97;1;1;449 (Tue Aug 28 16:54:24 BRT 2007[null]);3;2;0.600;11;8;0.579;0.590;0.600;0.000;0.579;0.022;0.590;0.011
97 a 98;1;1;452 (Tue Aug 28 18:11:48 BRT 2007[null]);3;1;0.750;4;9;0.308;0.437;0.750;0.000;0.308;0.443;0.437;0.314
98 a 99;1;1;454 (Tue Aug 28 18:58:30 BRT 2007[null]);2;1;0.667;9;5;0.643;0.655;0.667;0.001;0.643;0.025;0.655;0.013
99 a 100;1;1;457 (Tue Aug 28 19:43:13 BRT 2007[null]);3;1;0.750;4;9;0.308;0.437;0.750;0.000;0.308;0.443;0.437;0.314
101 a 102;5;1;468 (Thu Aug 30 16:26:24 BRT 2007[null]);1;0;1.000;1;9;0.101;0.184;1.000;0.000;0.101;0.901;0.182;0.819
102 a 103;2;1;471 (Thu Aug 30 18:12:16 BRT 2007[null]);2;4;0.334;2;3;0.401;0.365;0.334;0.001;0.401;0.067;0.364;0.030
103 a 104;1;1;479 (Fri Aug 31 17:39:33 BRT 2007[null]);0;4;0.000;0;1;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
104 a 105;1;1;480 (Sat Sep 01 11:43:09 BRT 2007[null]);2;1;0.667;9;5;0.643;0.655;0.667;0.001;0.643;0.025;0.655;0.013
105 a 106;6;3;539 (Fri Sep 07 16:55:45 BRT 2007[null]);3;10;0.231;5;13;0.278;0.253;0.200;0.283;0.112;0.181;0.143;0.210
106 a 107;40;16;540 (Fri Sep 07 17:01:46 BRT 2007[null]);14;68;0.171;17;116;0.128;0.147;0.168;0.125;0.194;0.273;0.151;0.143
107 a 108;1;1;543 (Fri Sep 07 17:49:38 BRT 2007[null]);1;3;0.250;1;8;0.112;0.155;0.250;0.000;0.112;0.139;0.154;0.097
108 a 109;9;2;556 (Mon Sep 10 18:09:02 BRT 2007[null]);0;12;0.000;0;12;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
109 a 110;3;2;559 (Mon Sep 10 18:13:45 BRT 2007[null]);2;6;0.250;2;19;0.096;0.139;0.250;0.000;0.096;0.155;0.139;0.113
110 a 111;1;1;564 (Tue Sep 11 09:12:14 BRT 2007[null]);3;4;0.429;3;7;0.300;0.354;0.429;0.001;0.300;0.130;0.353;0.077
111 a 112;5;5;566 (Tue Sep 11 14:29:47 BRT 2007[null]);7;22;0.242;12;23;0.343;0.284;0.267;0.220;0.269;0.147;0.258;0.166
114 a 115;1;1;577 (Fri Sep 14 11:25:21 BRT 2007[null]);2;2;0.500;2;4;0.334;0.401;0.500;0.000;0.334;0.167;0.401;0.100
115 a 116;9;7;578 (Sun Sep 16 15:56:00 BRT 2007[null]);12;13;0.480;14;52;0.213;0.296;0.424;0.231;0.190;0.264;0.235;0.219
116 a 117;21;15;580 (Mon Sep 17 09:26:46 BRT 2007[null]);21;34;0.382;28;71;0.283;0.326;0.308;0.253;0.311;0.326;0.263;0.216
119 a 120;1;1;583 (Mon Sep 17 12:54:07 BRT 2007[null]);4;3;0.572;5;15;0.250;0.348;0.572;0.001;0.250;0.322;0.348;0.225
120 a 121;2;1;584 (Mon Sep 17 18:29:40 BRT 2007[null]);1;3;0.250;1;11;0.084;0.126;0.250;0.000;0.084;0.167;0.125;0.125
121 a 122;21;18;586 (Mon Sep 17 19:37:39 BRT 2007[null]);24;55;0.304;39;104;0.273;0.288;0.270;0.149;0.239;0.165;0.240;0.142
122 a 123;1;1;592 (Tue Sep 18 21:27:17 BRT 2007[null]);0;2;0.000;0;5;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
123 a 124;12;1;597 (Wed Sep 19 12:28:57 BRT 2007[null]);1;6;0.143;1;6;0.143;0.143;0.143;0.001;0.143;0.001;0.143;0.001
124 a 125;1;1;600 (Wed Sep 19 13:27:23 BRT 2007[null]);3;2;0.600;3;9;0.250;0.353;0.600;0.000;0.250;0.350;0.353;0.248
125 a 126;2;1;602 (Wed Sep 19 19:10:31 BRT 2007[null]);1;3;0.250;3;9;0.250;0.250;0.250;0.000;0.250;0.000;0.250;0.000
126 a 127;1831;1231;607 (Fri Sep 21 15:18:21 BRT 2007[null]);1881;3857;0.328;2871;6871;0.295;0.311;0.339;0.260;0.335;0.272;0.308;0.223
127 a 128;1;1;608 (Fri Sep 21 15:24:16 BRT 2007[null]);7;6;0.539;13;32;0.289;0.377;0.539;0.001;0.289;0.251;0.377;0.163
128 a 129;32;15;609 (Fri Sep 21 15:24:52 BRT 2007[null]);15;38;0.284;26;83;0.239;0.260;0.377;0.279;0.315;0.238;0.306;0.180
129 a 130;1;1;613 (Sat Sep 22 07:34:46 BRT 2007[null]);2;1;0.667;2;9;0.182;0.286;0.667;0.001;0.182;0.486;0.286;0.382
130 a 131;38;24;615 (Sat Sep 22 08:38:55 BRT 2007[null]);23;71;0.245;38;137;0.218;0.231;0.333;0.335;0.200;0.242;0.209;0.225
131 a 132;6;2;631 (Tue Oct 02 07:46:38 BRT 2007[null]);0;12;0.000;0;27;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
133 a 134;1;1;633 (Tue Oct 02 11:20:27 BRT 2007[null]);0;4;0.000;0;9;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
134 a 135;1;1;635 (Tue Oct 02 11:50:08 BRT 2007[null]);0;5;0.000;0;7;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
135 a 136;7;4;647 (Sat Oct 13 13:24:24 BRT 2007[null]);7;15;0.319;7;35;0.167;0.220;0.274;0.163;0.145;0.156;0.188;0.140
138 a 139;12;9;657 (Sat Oct 20 21:05:03 BRST 2007[null]);16;47;0.254;18;90;0.167;0.202;0.245;0.110;0.263;0.162;0.246;0.127
139 a 140;5;5;658 (Sat Oct 20 21:09:23 BRST 2007[null]);12;8;0.600;19;51;0.272;0.375;0.656;0.194;0.253;0.411;0.362;0.312
140 a 141;12;4;662 (Sat Oct 20 21:17:01 BRST 2007[null]);5;17;0.228;5;24;0.173;0.197;0.147;0.182;0.161;0.205;0.154;0.193
141 a 142;4;3;666 (Mon Oct 22 21:52:29 BRST 2007[null]);10;7;0.589;16;30;0.348;0.438;0.580;0.069;0.401;0.213;0.469;0.154
143 a 144;8;3;672 (Fri Oct 26 11:05:31 BRST 2007[null]);3;10;0.231;3;25;0.108;0.148;0.143;0.203;0.067;0.122;0.091;0.139
144 a 145;2;1;673 (Fri Oct 26 11:51:32 BRST 2007[null]);0;3;0.000;0;3;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
145 a 146;2;1;674 (Fri Oct 26 21:32:40 BRST 2007[null]);2;0;1.000;2;10;0.167;0.287;1.000;0.000;0.167;0.834;0.286;0.715
