Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
265 a 315;137;102;1251 (Fri Jan 08 22:58:26 BRST 2010[null]);167;349;0.324;252;767;0.248;0.281;0.273;0.251;0.227;0.261;0.221;0.207
270 a 320;137;101;1291 (Wed Feb 10 13:06:01 BRST 2010[null]);165;343;0.325;249;739;0.253;0.285;0.270;0.251;0.228;0.262;0.220;0.208
275 a 325;128;92;1301 (Thu Feb 11 10:19:16 BRST 2010[null]);148;322;0.315;223;671;0.250;0.279;0.265;0.259;0.210;0.239;0.212;0.207
280 a 330;112;79;1324 (Thu Jan 21 21:19:35 BRST 2010[null]);138;286;0.326;215;589;0.268;0.295;0.286;0.270;0.220;0.235;0.229;0.213
285 a 335;85;55;1340 (Fri Feb 26 21:22:21 BRT 2010[null]);52;204;0.204;81;388;0.173;0.188;0.211;0.264;0.137;0.192;0.149;0.186
290 a 340;102;69;1355 (Thu Mar 04 20:18:46 BRT 2010[null]);57;245;0.189;84;461;0.155;0.171;0.235;0.294;0.134;0.193;0.151;0.187
295 a 345;102;67;1370 (Mon Mar 22 13:26:04 BRT 2010[null]);56;245;0.187;81;442;0.155;0.170;0.234;0.296;0.133;0.192;0.150;0.186
300 a 350;95;66;1380 (Sat Mar 27 14:22:03 BRT 2010[null]);54;252;0.177;76;427;0.152;0.164;0.215;0.282;0.130;0.186;0.144;0.181
305 a 355;100;69;1392 (Tue Apr 20 19:44:58 BRT 2010[null]);65;270;0.195;91;438;0.173;0.184;0.219;0.262;0.148;0.183;0.158;0.179
310 a 360;111;75;1441 (Wed May 05 17:18:52 BRT 2010[null]);67;277;0.195;108;503;0.177;0.186;0.230;0.287;0.140;0.186;0.155;0.185
315 a 365;113;79;1457 (Fri Jun 18 21:40:47 BRT 2010[null]);74;266;0.218;116;489;0.192;0.205;0.252;0.299;0.153;0.202;0.171;0.205
320 a 370;113;82;1473 (Mon Jul 05 15:16:46 BRT 2010[null]);85;273;0.238;134;514;0.207;0.222;0.267;0.296;0.184;0.233;0.189;0.207
323 a 373;123;84;1492 (ULTIMO);86;266;0.245;138;542;0.203;0.223;0.273;0.305;0.182;0.234;0.189;0.209
