Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
120 a 170;205;157;681 (Sat Dec 27 00:00:48 BRST 2008[null]);220;494;0.309;308;1154;0.211;0.251;0.322;0.303;0.243;0.274;0.245;0.237
125 a 175;196;152;712 (Mon Mar 23 01:23:48 BRT 2009[null]);198;499;0.285;281;1138;0.199;0.235;0.300;0.291;0.230;0.267;0.227;0.223
130 a 180;193;140;720 (Sun Apr 12 09:23:23 BRT 2009[null]);191;437;0.305;293;934;0.239;0.268;0.322;0.286;0.264;0.270;0.257;0.224
135 a 185;306;213;731 (Wed Apr 15 07:19:37 BRT 2009[null]);262;621;0.297;401;1467;0.215;0.250;0.328;0.317;0.226;0.255;0.238;0.234
140 a 190;287;198;761 (Wed Apr 22 01:11:38 BRT 2009[null]);238;553;0.301;375;1352;0.218;0.253;0.338;0.331;0.225;0.260;0.238;0.238
145 a 195;306;208;785 (Mon Apr 27 04:12:12 BRT 2009[null]);248;567;0.305;403;1473;0.215;0.253;0.347;0.337;0.219;0.262;0.235;0.240
150 a 200;296;198;798 (Fri May 01 02:16:19 BRT 2009[null]);221;554;0.286;356;1343;0.210;0.243;0.333;0.341;0.207;0.259;0.222;0.240
155 a 205;302;193;806 (Mon May 04 06:22:31 BRT 2009[null]);215;540;0.285;340;1314;0.206;0.240;0.334;0.337;0.208;0.259;0.224;0.239
160 a 210;299;195;815 (Thu May 07 04:10:10 BRT 2009[null]);219;539;0.289;346;1401;0.199;0.236;0.334;0.335;0.211;0.268;0.222;0.239
165 a 215;375;238;832 (Tue May 12 02:37:11 BRT 2009[null]);268;658;0.290;488;2016;0.195;0.234;0.331;0.322;0.208;0.262;0.219;0.228
170 a 220;360;228;870 (Mon Jun 08 22:42:37 BRT 2009[null]);248;615;0.288;469;1956;0.194;0.232;0.331;0.329;0.202;0.264;0.216;0.233
175 a 225;388;255;894 (Sun Jun 28 10:36:54 BRT 2009[null]);305;669;0.314;563;2191;0.205;0.249;0.354;0.331;0.214;0.269;0.231;0.240
180 a 230;359;238;910 (Mon Jul 13 20:11:15 BRT 2009[null]);275;627;0.305;504;2070;0.196;0.239;0.347;0.334;0.209;0.274;0.225;0.241
